Artist,Albums,MeanRating,MedianRating,MeanFirstImpressions,MedianFirstImpressions
Common,3,9.166666666666666,9.0,8.833333333333334,9.0
Injury Reserve,4,9.0,9.0,8.875,9.0
Mos Def,2,9.0,9.0,8.75,8.75
Lupe Fiasco,8,8.8125,8.75,8.75,8.75
Jay-Z,2,8.75,8.75,8.75,8.75
billy woods,3,8.666666666666666,8.5,8.666666666666666,8.5
Nas,3,8.666666666666666,8.5,8.5,8.5
IDK,5,8.5,8.5,8.8,8.5
Westside Gunn,2,8.5,8.5,8.25,8.25
Outkast,4,8.5,8.5,8.5,8.5
Redveil,4,8.25,8.25,8.25,8.25
Vince Staples,4,8.25,8.25,8.5,8.5
A Tribe Called Quest,2,8.25,8.25,8.25,8.25
Armand Hammer,2,8.0,8.0,8.0,8.0
Joey Bada$$,2,8.0,8.0,8.0,8.0
A$AP Rocky,2,8.0,8.0,8.0,8.0
JPEGMAFIA,5,8.0,7.5,8.1,8.0
Childish Gambino,2,8.0,8.0,8.0,8.0
Rage Against The Machine,2,8.0,8.0,8.25,8.25
MF DOOM,4,7.75,7.75,7.75,7.75
Billie Eilish,3,7.5,7.0,7.5,7.0
